screenshot_title,activity,hearts,light_lvl,in_hand_item,target_mob,decision_activity,decision_hearts,decision_light,decision_mob
archering (1897).png,archery,11,low,bow,spider,give_resistance,give_regeneration_2,palce_light_source,take_sword
archering (1917).png,archery,20,low,crossbow,ender,give_resistance,no_decision_for_hearts,palce_light_source,take_sword
archering (1918).png,archery,4,high,bow,other,give_resistance,give_regeneration_4,no_decision_for_light,no_decision_for_mob
archering (1947).png,archery,20,mid,crossbow,ender,give_resistance,no_decision_for_hearts,palce_light_source,take_sword
archering (1950).png,archery,4,high,bow,other,give_resistance,give_regeneration_4,no_decision_for_light,no_decision_for_mob
archering (1953).png,archery,20,mid,bow,ender,give_resistance,no_decision_for_hearts,palce_light_source,take_sword
archering (1959).png,archery,20,low,crossbow,creeper,give_resistance,no_decision_for_hearts,palce_light_source,go_back
archering (1960).png,archery,4,high,bow,other,give_resistance,give_regeneration_4,no_decision_for_light,no_decision_for_mob
archering (198).png,archery,9,high,bow,spider,give_resistance,give_regeneration_3,no_decision_for_light,take_sword
archering (204).png,archery,8,high,bow,spider,give_resistance,give_regeneration_3,no_decision_for_light,take_sword
archering (208).png,archery,11,high,bow,creeper,give_resistance,give_regeneration_2,no_decision_for_light,go_back
archering (2212).png,archery,20,high,bow,other,give_resistance,no_decision_for_hearts,no_decision_for_light,no_decision_for_mob
archering (2250).png,archery,20,high,bow,other,give_resistance,no_decision_for_hearts,no_decision_for_light,no_decision_for_mob
archering (2299).png,archery,20,high,bow,other,give_resistance,no_decision_for_hearts,no_decision_for_light,no_decision_for_mob
archering (230).png,archery,14,mid,bow,skeleton,give_resistance,give_regeneration_2,place_light_source,no_decision_for_mob
archering (2304).png,archery,20,high,bow,other,give_resistance,no_decision_for_hearts,no_decision_for_light,no_decision_for_mob
archering (2308).png,archery,17,high,bow,other,give_resistance,give_regeneration_1,no_decision_for_light,no_decision_for_mob
archering (233).png,archery,6,high,bow,spider,give_resistance,give_regeneration_3,no_decision_for_light,take_sword
archering (2357).png,archery,18,high,bow,other,give_resistance,give_regeneration_1,no_decision_for_light,no_decision_for_mob
archering (237).png,archery,6,high,bow,spider,give_resistance,give_regeneration_3,no_decision_for_light,take_sword
archering (238).png,archery,3,high,bow,skeleton,give_resistance,give_regeneration_4,no_decision_for_light,no_decision_for_mob
archering (242).png,archery,4,high,bow,spider,give_resistance,give_regeneration_4,no_decision_for_light,take_sword
archering (246).png,archery,7,mid,bow,spider,give_resistance,give_regeneration_3,place_light_source,take_sword
archering (2492).png,archery,4,mid,bow,ender,give_resistance,give_regeneration_4,place_light_source,take_sword
archering (2494).png,archery,4,mid,bow,ender,give_resistance,give_regeneration_4,place_light_source,take_sword
archering (2521).png,archery,13,mid,bow,other,give_resistance,give_regeneration_2,place_light_source,no_decision_for_mob
archering (2524).png,archery,13,mid,bow,other,give_resistance,give_regeneration_2,place_light_source,no_decision_for_mob
archering (253).png,archery,6,high,bow,spider,give_resistance,give_regeneration_3,no_decision_for_light,take_sword
archering (259).png,archery,6,high,bow,spider,give_resistance,give_regeneration_3,no_decision_for_light,take_sword
archering (2590).png,archery,6,mid,bow,spider,give_resistance,give_regeneration_3,place_light_source,take_sword
archering (262).png,archery,18,mid,bow,zombie,give_resistance,give_regeneration_1,place_light_source,take_sword
archering (264).png,archery,18,mid,bow,zombie,give_resistance,give_regeneration_1,place_light_source,take_sword
archering (2687).png,archery,6,low,bow,other,give_resistance,give_regeneration_3,place_light_source,no_decision_for_mob
archering (2688).png,archery,6,low,bow,other,give_resistance,give_regeneration_3,place_light_source,no_decision_for_mob
archering (271).png,archery,15,high,bow,no_mob,give_resistance,give_regeneration_1,no_decision_for_light,no_decision_for_mob
archering (275).png,archery,15,high,bow,no_mob,give_resistance,give_regeneration_1,no_decision_for_light,no_decision_for_mob
archering (2757).png,archery,6,high,bow,creeper,give_resistance,give_regeneration_3,no_decision_for_light,go_back
archering (2759).png,archery,6,high,bow,creeper,give_resistance,give_regeneration_3,no_decision_for_light,go_back
archering (2767).png,archery,6,high,bow,creeper,give_resistance,give_regeneration_3,no_decision_for_light,go_back
archering (28).png,archery,20,low,bow,zombie,give_resistance,no_decision_for_hearts,place_light_source,take_sword
archering (281).png,archery,15,high,bow,no_mob,give_resistance,give_regeneration_1,no_decision_for_light,no_decision_for_mob
archering (290).png,archery,4,low,bow,zombie,give_resistance,give_regeneration_4,place_light_source,take_sword
archering (291).png,archery,15,high,bow,no_mob,give_resistance,give_regeneration_1,no_decision_for_light,no_decision_for_mob
archering (2914).png,archery,15,high,bow,other,give_resistance,give_regeneration_1,no_decision_for_light,no_decision_for_mob
archering (2915).png,archery,15,high,bow,other,give_resistance,give_regeneration_1,no_decision_for_light,no_decision_for_mob
archering (294).png,archery,4,low,bow,skeleton,give_resistance,give_regeneration_4,place_light_source,no_decision_for_mob
archering (295).png,archery,15,high,bow,no_mob,give_resistance,give_regeneration_1,no_decision_for_light,no_decision_for_mob
archering (299).png,archery,15,high,bow,no_mob,give_resistance,give_regeneration_1,no_decision_for_light,no_decision_for_mob
archering (3027).png,archery,20,low,bow,skeleton,give_resistance,no_decision_for_hearts,place_light_source,no_decision_for_mob
archering (3030).png,archery,20,low,bow,skeleton,give_resistance,no_decision_for_hearts,place_light_source,no_decision_for_mob
archering (3035).png,archery,20,low,bow,other,give_resistance,no_decision_for_hearts,place_light_source,no_decision_for_mob
archering (304).png,archery,20,low,bow,spider,give_resistance,no_decision_for_hearts,place_light_source,take_sword
archering (305).png,archery,15,high,bow,no_mob,give_resistance,give_regeneration_1,no_decision_for_light,no_decision_for_mob
archering (3083).png,archery,20,low,bow,skeleton,give_resistance,no_decision_for_hearts,place_light_source,no_decision_for_mob
archering (310).png,archery,4,high,crossbow,zombie,give_resistance,give_regeneration_4,no_decision_for_light,take_sword
archering (311).png,archery,15,high,bow,no_mob,give_resistance,give_regeneration_1,no_decision_for_light,no_decision_for_mob
archering (3110).png,archery,20,low,bow,creeper,give_resistance,no_decision_for_hearts,place_light_source,go_back
archering (316).png,archery,20,low,bow,no_mob,give_resistance,no_decision_for_hearts,place_light_source,no_decision_for_mob
archering (317).png,archery,15,high,bow,no_mob,give_resistance,give_regeneration_1,no_decision_for_light,no_decision_for_mob
archering (331).png,archery,15,high,bow,no_mob,give_resistance,give_regeneration_1,no_decision_for_light,no_decision_for_mob
archering (336).png,archery,17,low,bow,zombie,give_resistance,give_regeneration_1,place_light_source,take_sword
archering (340).png,archery,17,low,bow,no_mob,give_resistance,give_regeneration_1,place_light_source,no_decision_for_mob
archering (342).png,archery,20,mid,bow,creeper,give_resistance,no_decision_for_hearts,place_light_source,go_back
archering (343).png,archery,15,high,bow,other,give_resistance,give_regeneration_1,no_decision_for_light,no_decision_for_mob
archering (345).png,archery,15,high,bow,other,give_resistance,give_regeneration_1,no_decision_for_light,no_decision_for_mob
archering (354).png,archery,20,mid,crossbow,skeleton,give_resistance,no_decision_for_hearts,place_light_source,take_bow
archering (358).png,archery,20,mid,crossbow,creeper,give_resistance,no_decision_for_hearts,place_light_source,go_back
archering (378).png,archery,12,mid,bow,zombie,give_resistance,give_regeneration_2,place_light_source,take_sword
archering (388).png,archery,3,mid,bow,zombie,give_resistance,give_regeneration_4,place_light_source,take_sword
archering (395).png,archery,15,mid,bow,other,give_resistance,give_regeneration_1,place_light_source,no_decision_for_mob
archering (396).png,archery,20,low,bow,zombie,give_resistance,no_decision_for_hearts,place_light_source,take_sword
archering (4).png,archery,20,low,bow,creeper,give_resistance,no_decision_for_hearts,place_light_source,go_back
archering (40).png,archery,17,low,bow,spider,give_resistance,give_regeneration_1,place_light_source,take_sword
archering (44).png,archery,16,low,bow,creeper,give_resistance,give_regeneration_1,place_light_source,go_back
archering (45).png,archery,20,low,bow,zombie,give_resistance,no_decision_for_hearts,place_light_source,take_sword
archering (48).png,archery,13,low,bow,creeper,give_resistance,give_regeneration_2,place_light_source,go_back
archering (58).png,archery,13,low,bow,skeleton,give_resistance,give_regeneration_2,place_light_source,no_decision_for_mob
archering (63).png,archery,6,high,bow,spider,give_resistance,give_regeneration_3,no_decision_for_light,take_sword
archering (64).png,archery,20,high,bow,creeper,give_resistance,no_decision_for_hearts,no_decision_for_light,go_back
archering (72).png,archery,20,high,bow,creeper,give_resistance,no_decision_for_hearts,no_decision_for_light,go_back
archering (74).png,archery,20,high,bow,creeper,give_resistance,no_decision_for_hearts,no_decision_for_light,go_back
archering (75).png,archery,6,high,bow,spider,give_resistance,give_regeneration_3,no_decision_for_light,take_sword
archering (76).png,archery,20,high,bow,no_mob,give_resistance,no_decision_for_hearts,no_decision_for_light,no_decision_for_mob
archering (80).png,archery,20,high,bow,creeper,give_resistance,no_decision_for_hearts,no_decision_for_light,go_back
archering (91).png,archery,6,high,bow,spider,give_resistance,give_regeneration_3,no_decision_for_light,take_sword
archering (92).png,archery,15,high,bow,skeleton,give_resistance,give_regeneration_1,no_decision_for_light,no_decision_for_mob
archering (94).png,archery,14,high,bow,skeleton,give_resistance,give_regeneration_2,no_decision_for_light,no_decision_for_mob
archering (98).png,archery,10,high,bow,no_mob,give_resistance,give_regeneration_2,no_decision_for_light,no_decision_for_mob
building (100).png,building,13,high,miscellaneous,no_mob,give_jump_boost,give_regeneration_2,no_decision_for_light,no_decision_for_mob
building (109).png,building,13,high,block,no_mob,give_jump_boost,give_regeneration_2,no_decision_for_light,no_decision_for_mob
building (111).png,building,13,high,block,no_mob,give_jump_boost,give_regeneration_2,no_decision_for_light,no_decision_for_mob
building (12).png,building,20,high,block,no_mob,give_jump_boost,no_decision_for_hearts,no_decision_for_light,no_decision_for_mob
building (126).png,building,9,high,block,no_mob,give_jump_boost,give_regeneration_3,no_decision_for_light,no_decision_for_mob
building (13).png,building,20,high,block,no_mob,give_jump_boost,no_decision_for_hearts,no_decision_for_light,no_decision_for_mob
building (130).png,building,9,high,block,no_mob,give_jump_boost,give_regeneration_3,no_decision_for_light,no_decision_for_mob
building (141).png,building,18,high,block,no_mob,give_jump_boost,give_regeneration_1,no_decision_for_light,no_decision_for_mob
building (146).png,building,20,low,block,no_mob,give_jump_boost,no_decision_for_hearts,place_light_source,no_decision_for_mob
building (150).png,building,20,low,block,no_mob,give_jump_boost,no_decision_for_hearts,place_light_source,no_decision_for_mob
building (159).png,building,3,low,block,no_mob,give_jump_boost,give_regeneration_4,place_light_source,no_decision_for_mob
building (164).png,building,8,low,block,no_mob,give_jump_boost,give_regeneration_3,place_light_source,no_decision_for_mob
building (165).png,building,8,low,block,no_mob,give_jump_boost,give_regeneration_3,place_light_source,no_decision_for_mob
building (168).png,building,8,mid,block,no_mob,give_jump_boost,give_regeneration_3,place_light_source,no_decision_for_mob
building (169).png,building,4,mid,block,no_mob,give_jump_boost,give_regeneration_4,place_light_source,no_decision_for_mob
building (172).png,building,0,mid,miscellaneous,no_mob,give_jump_boost,give_regeneration_4,place_light_source,no_decision_for_mob
building (173).png,building,2,mid,block,no_mob,give_jump_boost,give_regeneration_4,place_light_source,no_decision_for_mob
building (174).png,building,2,mid,miscellaneous,no_mob,give_jump_boost,give_regeneration_4,place_light_source,no_decision_for_mob
building (180).png,building,18,mid,miscellaneous,creeper,give_jump_boost,give_regeneration_1,place_light_source,go_back
building (187).png,building,16,low,block,no_mob,give_jump_boost,give_regeneration_1,place_light_source,no_decision_for_mob
building (188).png,building,16,low,miscellaneous,no_mob,give_jump_boost,give_regeneration_1,place_light_source,no_decision_for_mob
building (189).png,building,20,mid,miscellaneous,no_mob,give_jump_boost,no_decision_for_hearts,place_light_source,no_decision_for_mob
building (19).png,building,20,mid,block,no_mob,give_jump_boost,no_decision_for_hearts,place_light_source,no_decision_for_mob
building (191).png,building,20,mid,block,no_mob,give_jump_boost,no_decision_for_hearts,place_light_source,no_decision_for_mob
building (197).png,building,20,mid,block,no_mob,give_jump_boost,no_decision_for_hearts,place_light_source,no_decision_for_mob
building (198).png,building,20,mid,block,no_mob,give_jump_boost,no_decision_for_hearts,place_light_source,no_decision_for_mob
building (200).png,building,20,mid,block,no_mob,give_jump_boost,no_decision_for_hearts,place_light_source,no_decision_for_mob
building (209).png,building,19,mid,block,no_mob,give_jump_boost,give_regeneration_1,place_light_source,no_decision_for_mob
building (211).png,building,20,mid,block,no_mob,give_jump_boost,no_decision_for_hearts,place_light_source,no_decision_for_mob
building (216).png,building,14,high,block,no_mob,give_jump_boost,give_regeneration_2,no_decision_for_light,no_decision_for_mob
building (22).png,building,20,high,block,no_mob,give_jump_boost,no_decision_for_hearts,no_decision_for_light,no_decision_for_mob
building (220).png,building,14,high,block,no_mob,give_jump_boost,give_regeneration_2,no_decision_for_light,no_decision_for_mob
building (230).png,building,14,high,block,no_mob,give_jump_boost,give_regeneration_2,no_decision_for_light,no_decision_for_mob
building (234).png,building,14,high,miscellaneous,no_mob,give_jump_boost,give_regeneration_2,no_decision_for_light,no_decision_for_mob
building (237).png,building,14,high,block,no_mob,give_jump_boost,give_regeneration_2,no_decision_for_light,no_decision_for_mob
building (239).png,building,14,high,block,no_mob,give_jump_boost,give_regeneration_2,no_decision_for_light,no_decision_for_mob
building (244).png,building,14,high,block,no_mob,give_jump_boost,give_regeneration_2,no_decision_for_light,no_decision_for_mob
building (247).png,building,14,high,miscellaneous,no_mob,give_jump_boost,give_regeneration_2,no_decision_for_light,no_decision_for_mob
building (249).png,building,14,high,miscellaneous,no_mob,give_jump_boost,give_regeneration_2,no_decision_for_light,no_decision_for_mob
building (25).png,building,18,high,miscellaneous,no_mob,give_jump_boost,give_regeneration_1,no_decision_for_light,no_decision_for_mob
building (251).png,building,14,high,miscellaneous,no_mob,give_jump_boost,give_regeneration_2,no_decision_for_light,no_decision_for_mob
building (258).png,building,14,high,block,no_mob,give_jump_boost,give_regeneration_2,no_decision_for_light,no_decision_for_mob
building (259).png,building,14,high,block,no_mob,give_jump_boost,give_regeneration_2,no_decision_for_light,no_decision_for_mob
building (260).png,building,14,high,block,no_mob,give_jump_boost,give_regeneration_2,no_decision_for_light,no_decision_for_mob
building (263).png,building,20,high,no_item,no_mob,give_jump_boost,no_decision_for_hearts,no_decision_for_light,no_decision_for_mob
building (267).png,building,20,high,block,no_mob,give_jump_boost,no_decision_for_hearts,no_decision_for_light,no_decision_for_mob
building (272).png,building,18,high,block,no_mob,give_jump_boost,give_regeneration_1,no_decision_for_light,no_decision_for_mob
building (274).png,building,18,high,block,no_mob,give_jump_boost,give_regeneration_1,no_decision_for_light,no_decision_for_mob
building (276).png,building,18,high,block,no_mob,give_jump_boost,give_regeneration_1,no_decision_for_light,no_decision_for_mob
building (278).png,building,18,high,block,no_mob,give_jump_boost,give_regeneration_1,no_decision_for_light,no_decision_for_mob
building (280).png,building,18,high,block,no_mob,give_jump_boost,give_regeneration_1,no_decision_for_light,no_decision_for_mob
building (281).png,building,18,high,block,no_mob,give_jump_boost,give_regeneration_1,no_decision_for_light,no_decision_for_mob
building (283).png,building,16,high,block,no_mob,give_jump_boost,give_regeneration_1,no_decision_for_light,no_decision_for_mob
building (285).png,building,20,high,miscellaneous,no_mob,give_jump_boost,no_decision_for_hearts,no_decision_for_light,no_decision_for_mob
building (29).png,building,18,high,no_item,no_mob,give_jump_boost,give_regeneration_1,no_decision_for_light,no_decision_for_mob
building (292).png,building,20,high,miscellaneous,no_mob,give_jump_boost,no_decision_for_hearts,no_decision_for_light,no_decision_for_mob
building (293).png,building,20,high,miscellaneous,no_mob,give_jump_boost,no_decision_for_hearts,no_decision_for_light,no_decision_for_mob
building (295).png,building,20,high,axe,no_mob,give_jump_boost,no_decision_for_hearts,no_decision_for_light,no_decision_for_mob
building (309).png,building,20,high,axe,no_mob,give_jump_boost,no_decision_for_hearts,no_decision_for_light,no_decision_for_mob
building (31).png,building,18,high,miscellaneous,no_mob,give_jump_boost,give_regeneration_1,no_decision_for_light,no_decision_for_mob
building (310).png,building,20,high,block,no_mob,give_jump_boost,no_decision_for_hearts,no_decision_for_light,no_decision_for_mob
building (312).png,building,20,high,pickaxe,no_mob,give_jump_boost,no_decision_for_hearts,no_decision_for_light,no_decision_for_mob
building (323).png,building,20,high,block,no_mob,give_jump_boost,no_decision_for_hearts,no_decision_for_light,no_decision_for_mob
building (325).png,building,20,mid,miscellaneous,no_mob,give_jump_boost,no_decision_for_hearts,place_light_source,no_decision_for_mob
building (326).png,building,20,mid,miscellaneous,no_mob,give_jump_boost,no_decision_for_hearts,place_light_source,no_decision_for_mob
building (33).png,building,18,high,miscellaneous,no_mob,give_jump_boost,give_regeneration_1,no_decision_for_light,no_decision_for_mob
building (330).png,building,20,high,miscellaneous,no_mob,give_jump_boost,no_decision_for_hearts,no_decision_for_light,no_decision_for_mob
building (339).png,building,20,high,miscellaneous,no_mob,give_jump_boost,no_decision_for_hearts,no_decision_for_light,no_decision_for_mob
building (347).png,building,20,high,miscellaneous,no_mob,give_jump_boost,no_decision_for_hearts,no_decision_for_light,no_decision_for_mob
building (35).png,building,16,high,miscellaneous,no_mob,give_jump_boost,give_regeneration_1,no_decision_for_light,no_decision_for_mob
building (356).png,building,19,high,block,no_mob,give_jump_boost,give_regeneration_1,no_decision_for_light,no_decision_for_mob
building (357).png,building,19,high,block,no_mob,give_jump_boost,give_regeneration_1,no_decision_for_light,no_decision_for_mob
building (359).png,building,19,high,block,no_mob,give_jump_boost,give_regeneration_1,no_decision_for_light,no_decision_for_mob
building (365).png,building,20,high,block,no_mob,give_jump_boost,no_decision_for_hearts,no_decision_for_light,no_decision_for_mob
building (374).png,building,20,mid,block,no_mob,give_jump_boost,no_decision_for_hearts,place_light_source,no_decision_for_mob
building (378).png,building,20,high,miscellaneous,no_mob,give_jump_boost,no_decision_for_hearts,no_decision_for_light,no_decision_for_mob
building (38).png,building,18,mid,miscellaneous,no_mob,give_jump_boost,give_regeneration_1,place_light_source,no_decision_for_mob
building (380).png,building,20,high,miscellaneous,no_mob,give_jump_boost,no_decision_for_hearts,no_decision_for_light,no_decision_for_mob
building (381).png,building,20,high,miscellaneous,no_mob,give_jump_boost,no_decision_for_hearts,no_decision_for_light,no_decision_for_mob
building (39).png,building,16,high,miscellaneous,no_mob,give_jump_boost,give_regeneration_1,no_decision_for_light,no_decision_for_mob
building (393).png,building,16,high,miscellaneous,no_mob,give_jump_boost,give_regeneration_1,no_decision_for_light,no_decision_for_mob
building (4).png,building,18,high,block,no_mob,give_jump_boost,give_regeneration_1,no_decision_for_light,no_decision_for_mob
building (400).png,building,20,high,no_item,no_mob,give_jump_boost,no_decision_for_hearts,no_decision_for_light,no_decision_for_mob
building (404).png,building,20,high,block,no_mob,give_jump_boost,no_decision_for_hearts,no_decision_for_light,no_decision_for_mob
building (405).png,building,20,high,block,no_mob,give_jump_boost,no_decision_for_hearts,no_decision_for_light,no_decision_for_mob
building (412).png,building,20,high,no_item,no_mob,give_jump_boost,no_decision_for_hearts,no_decision_for_light,no_decision_for_mob
building (417).png,building,20,high,miscellaneous,no_mob,give_jump_boost,no_decision_for_hearts,no_decision_for_light,no_decision_for_mob
